exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact_vns_sol,rssv_tbPMP_exact_vns_time,,,,,,,,
0,0,0,0,"44104673,5630417","1507,61736106873",0,0,0,0,0,0,"44104673,5630417","1507,61736106873",0,0
0,0,0,0,"44104673,5630417","1535,0458240509",0,0,0,0,0,0,"44104673,5630417","1535,0458240509",0,0
0,0,0,0,"44104673,5630417","1566,9132039547",0,0,0,0,0,0,"44104673,5630417","1566,9132039547",0,0
0,0,0,0,"44104673,5630417","1605,34877109528",0,0,0,0,0,0,"44104673,5630417","1605,34877109528",0,0
0,0,0,0,"44104673,5630417","1615,56039500237",0,0,0,0,0,0,"44104673,5630417","1615,56039500237",0,0
0,0,0,0,"42305404,3291068","2706,58341693878",0,0,0,0,0,0,"42305404,3291068","2706,58341693878",0,0
0,0,0,0,"42305404,3291068","2714,68944311142",0,0,0,0,0,0,"42305404,3291068","2714,68944311142",0,0
0,0,0,0,"42305404,3291068","2743,56346106529",0,0,0,0,0,0,"42305404,3291068","2743,56346106529",0,0
0,0,0,0,"42305404,3291068","2772,41423606873",0,0,0,0,0,0,"42305404,3291068","2772,41423606873",0,0
0,0,0,0,"42305404,3291068","2825,46873211861",0,0,0,0,0,0,"42305404,3291068","2825,46873211861",0,0
0,0,0,0,"42305404,3291068","3030,47203612328",0,0,0,0,0,0,"42305404,3291068","3030,47203612328",0,0
0,0,0,0,"42305404,3291068","3192,30402898788",0,0,0,0,0,0,"42305404,3291068","3192,30402898788",0,0
0,0,0,0,"42305404,3291068","3251,12001800537",0,0,0,0,0,0,"42305404,3291068","3251,12001800537",0,0
0,0,0,0,"42286372,7649795","3606,05434799194",0,0,0,0,0,0,"42286372,7649795","3606,05434799194",0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
